ISO3,event date,Renewable_gen_GW,Demand_GW,share of res in demand
ARG,27-12-2020,4.97,16.48414583,0.301501822
AUS,25-04-2019,3.647978999,18.71103854,0.194964004
AUS,02-06-2020,5.600492904,27.1636875,0.206175723
AUS,08-12-2015,3.095858364,23.24392979,0.133189972
AUS,08-02-2015,2.420439565,20.72215708,0.116804421
AUT,10-09-2020,7.28878125,7.119364583,1.023796599
AUT,20-12-2017,5.64303125,8.74671875,0.645159792
AUT,14-09-2020,5.848072917,7.064697917,0.827788107
AUS,30-09-2019,4.72430751,20.64668146,0.228816797
AUT,22-10-2020,4.667979167,7.774510417,0.60042098
ARG,12-08-2021,6.122505051,19.33008333,0.31673454
AUS,05-09-2020,3.676874731,22.08370667,0.166497173
AUS,12-07-2020,4.123574021,25.36739875,0.162554074
AUS,05-04-2021,4.297258585,22.80153142,0.188463595
AUS,01-08-2015,3.304121176,21.16390333,0.156120595
AUS,30-10-2020,5.092607548,23.56760333,0.216085084
AUT,04-06-2016,6.442729167,5.837104167,1.103754359
AUT,13-02-2022,3.771447917,6.622208333,0.569515142
AUS,23-08-2019,5.446957443,21.94045375,0.24826093
AUS,19-09-2016,3.805432892,21.63084542,0.175926221
AUT,26-05-2015,2.507125,6.394447917,0.392078414
ARG,15-02-2022,4.594783333,18.24133333,0.251888568
AUT,02-12-2016,5.929916667,8.441125,0.702503122
AUT,27-11-2020,3.976239583,8.306708333,0.478678127
AUT,02-10-2015,3.669604167,7.069479167,0.519077018
AUS,17-09-2016,2.729804184,19.37589583,0.140886605
AUS,11-04-2021,5.970419452,22.50688308,0.265270825
AUS,29-08-2016,4.102122635,22.18088125,0.18493957
AUT,02-07-2019,6.65534375,7.399375,0.899446744
AUS,04-10-2019,4.119001139,20.03391125,0.205601447
AUS,26-12-2019,3.564115715,18.83290083,0.189249428
AUS,23-12-2015,2.898972665,22.04376167,0.13150989
AUT,20-01-2022,3.857552083,8.421041667,0.458084906
ARG,17-11-2020,6.494,15.29041667,0.424710467
AUT,04-08-2016,6.09925,6.62640625,0.920446132
AUT,14-02-2015,3.055041667,7.1083125,0.429784378
AUT,29-09-2018,3.561125,6.217375,0.572769859
AUT,05-02-2016,4.945270833,8.107114583,0.609991481
AUT,18-07-2016,8.046885417,6.830572917,1.178068885
AUT,14-02-2018,5.114375,8.757802083,0.583979285
AUS,05-02-2022,5.882847758,23.66919941,0.248544433
