year,country_ISO3,technology_field,raised_amount_usd,number_of_deals
2010,CAN,Fossil Fuels,3016437.125748503,1.0
2010,CAN,Grid,15703127.820359282,1.0
2010,CAN,Other Energy,16963473.053892218,2.0
2010,CAN,Other Renewables,3620938.778443114,1.5
2010,CAN,Solar,5229341.317365269,0.5
2010,CHE,Fossil Fuels,3335296.2125748503,0.5
2010,CHE,Other Energy,26141.604790419162,2.0
2010,CHE,Solar,3335296.2125748503,0.5
2010,CHN,Energy Efficiency,16454739.772455089,5.0
2010,CHN,Fossil Fuels,1914102.1796407185,1.0
2010,CHN,Grid,3136868.8562874254,1.0
2010,CHN,Hybrid and Electric mobility,31819636.347305387,4.0
2010,CHN,Other Energy,94672066.63473055,4.166666666666667
2010,CHN,Other Renewables,87230089.82035929,1.1666666666666665
2010,CHN,Solar,27634730.538922153,0.3333333333333333
2010,CHN,Storage (not electromobility),31581263.41317365,2.3333333333333335
2010,DEU,Energy Efficiency,9192760.5,2.75
2010,DEU,Grid,584787.0359281438,0.5
2010,DEU,Hybrid and Electric mobility,2860203.5389221557,1.0
2010,DEU,Other Energy,438721.96706586826,0.5
2010,DEU,Other Renewables,669610.7784431138,0.25
2010,DNK,Grid,694323.8802395209,1.0
2010,ESP,Other Energy,526481.1556886227,1.0
2010,FIN,Hybrid and Electric mobility,6081833.6407185625,1.0
2010,FRA,Energy Efficiency,5730859.383233532,1.5
2010,FRA,Grid,1077250.6886227545,1.0
2010,FRA,Other Energy,12571150.311377246,2.0
2010,FRA,Other Renewables,1317495.5568862276,1.5
2010,GBR,Bioenergy,9272514.970059881,1.0
2010,GBR,Energy Efficiency,3857131.5449101795,4.333333333333333
2010,GBR,Fossil Fuels,8829948.799401198,3.0
2010,GBR,Grid,2451700.7874251497,3.5
2010,GBR,Other Energy,45566546.44610778,5.666666666666667
2010,GBR,Other Renewables,9782575.568862276,3.6666666666666665
2010,GBR,Solar,1798383.233532934,1.3333333333333333
2010,GBR,Storage (not electromobility),1310774.5778443115,1.5
2010,IND,Bioenergy,1275449.1017964073,0.5
2010,IND,Energy Efficiency,239146.70658682636,0.5
2010,IND,Other Energy,21292028.443113774,2.25
2010,IND,Other Renewables,127544.91017964072,0.5
2010,IND,Solar,7899812.874251498,1.75
2010,IND,Wind,13392215.568862276,0.5
2010,IRL,Other Energy,518470.05988023954,0.5
2010,IRL,Other Renewables,518470.05988023954,0.5
2010,ISR,Hydrogen and Fuel Cells,4782934.131736527,0.25
2010,ISR,Other Energy,27103293.413173653,2.25
2010,ISR,Solar,20726047.904191617,0.75
2010,ISR,Storage (not electromobility),4782934.131736527,0.25
2010,ISR,Wind,5739520.958083833,0.5
2010,ITA,Other Renewables,5080593.341317365,1.0
2010,JPN,Other Energy,221172.4401197605,1.0
2010,JPN,Solar,221172.4401197605,1.0
2010,KEN,Solar,7014970.05988024,1.0
2010,NOR,Energy Efficiency,548774.7305389222,0.6000000000000001
2010,NOR,Grid,182924.91017964075,0.2
2010,NOR,Hybrid and Electric mobility,51017964.07185629,1.0
2010,NOR,Other Renewables,182924.91017964075,0.2
2010,NOR,Solar,17765201.22754491,1.0
2010,PRT,Other Energy,292796.55988023954,0.5
2010,PRT,Other Renewables,292796.55988023954,0.5
2010,RUS,Other Energy,2550898.2035928145,1.0
2010,SGP,Energy Efficiency,1133735.2275449103,1.0
2010,SWE,Bioenergy,2869760.4790419163,0.5
2010,SWE,Fossil Fuels,4145209.5808383236,1.0
2010,SWE,Other Energy,1275449.1017964073,0.5
2010,TUR,Storage (not electromobility),1185133.2754491018,2.0
2010,UKR,Energy Efficiency,31886.22754491018,0.25
2010,UKR,Grid,31886.22754491018,0.25
2010,UKR,Other Energy,31886.22754491018,0.25
2010,UKR,Solar,31886.22754491018,0.25
2010,USA,Bioenergy,107990397.98802395,9.0
2010,USA,Energy Efficiency,594055586.0583832,57.983333333333334
2010,USA,Fossil Fuels,317277944.6736527,23.25
2010,USA,Grid,195250756.9790419,6.533333333333333
2010,USA,Hybrid and Electric mobility,951390051.0718564,23.0
2010,USA,Hydrogen and Fuel Cells,106287.4251497006,0.3333333333333333
2010,USA,Other Energy,1034003152.7859281,70.06666666666666
2010,USA,Other Renewables,609204171.6736528,41.68333333333333
2010,USA,Solar,1183262419.2844312,38.583333333333336
2010,USA,Storage (not electromobility),350200479.71556884,17.733333333333334
2010,USA,Wind,5742437.27245509,1.8333333333333333
2011,AUS,Grid,7430232.558139535,0.6666666666666666
2011,AUS,Other Energy,1507399.761627907,1.0
2011,AUS,Other Renewables,3715116.2790697673,0.3333333333333333
2011,AUT,Solar,1282482.9069767443,1.0
2011,BEL,Other Energy,16718023.255813954,0.5
2011,BEL,Other Renewables,16718023.255813954,0.5
2011,BMU,Energy Efficiency,495348.8372093023,0.3333333333333333
2011,BMU,Other Energy,495348.8372093023,0.3333333333333333
2011,BMU,Other Renewables,495348.8372093023,0.3333333333333333
2011,BRA,Fossil Fuels,19448630.005813953,1.0
2011,CAN,Energy Efficiency,22118259.933139537,4.0
2011,CAN,Fossil Fuels,17254651.162790697,2.1666666666666665
2011,CAN,Grid,65277328.5872093,1.5
2011,CAN,Other Energy,51219971.09593023,4.166666666666666
2011,CAN,Other Renewables,20751014.790697675,2.5
2011,CAN,Solar,23662021.808139537,2.6666666666666665
2011,CAN,Storage (not electromobility),619186.046511628,1.0
2011,CHE,Energy Efficiency,15105.662790697674,1.0
2011,CHE,Other Energy,327388.4302325581,4.0
2011,CHL,Other Energy,24767.441860465115,0.5
2011,CHL,Other Renewables,24767.441860465115,0.5
2011,CHN,Energy Efficiency,21757522.761627905,4.25
2011,CHN,Fossil Fuels,1271378.4244186047,3.0
2011,CHN,Hybrid and Electric mobility,15588895.395348838,1.0
2011,CHN,Other Energy,16060654.482558139,2.25
2011,CHN,Other Renewables,6191860.465116279,0.5
2011,DEU,Energy Efficiency,27811258.91860465,2.5
2011,DEU,Hybrid and Electric mobility,13662572.930232558,1.0
2011,DEU,Other Energy,6447329.610465116,1.3333333333333333
2011,DEU,Other Renewables,127965.11627906977,0.8333333333333333
2011,DEU,Storage (not electromobility),103197.67441860466,0.3333333333333333
2011,ESP,Energy Efficiency,205818.06104651163,0.8333333333333333
2011,ESP,Other Energy,205818.06104651163,0.8333333333333333
2011,ESP,Other Renewables,172276.13372093023,0.3333333333333333
2011,ETH,Energy Efficiency,103197.67441860466,0.3333333333333333
2011,ETH,Other Energy,103197.67441860466,0.3333333333333333
2011,ETH,Other Renewables,103197.67441860466,0.3333333333333333
2011,FIN,Energy Efficiency,569651.1627906977,1.0
2011,FRA,Energy Efficiency,641100.5886627907,0.25
2011,FRA,Other Energy,641100.5886627907,0.25
2011,FRA,Other Renewables,1282201.1773255814,0.5
2011,GBR,Bioenergy,13749984.662790697,2.0
2011,GBR,Energy Efficiency,29935870.555232555,7.166666666666666
2011,GBR,Fossil Fuels,7663909.6569767445,4.0
2011,GBR,Grid,304302.6976744186,1.5
2011,GBR,Nuclear,341120.738372093,1.0
2011,GBR,Other Energy,34595865.97965116,5.666666666666666
2011,GBR,Other Renewables,8775809.904069768,2.5
2011,GBR,Solar,20140140.491279066,1.6666666666666665
2011,GBR,Storage (not electromobility),164084.3023255814,0.5
2011,HKG,Solar,74302.32558139534,1.0
2011,IND,Energy Efficiency,41279.06976744186,0.3333333333333333
2011,IND,Other Energy,8462209.30232558,0.8333333333333333
2011,IND,Other Renewables,41279.06976744186,0.3333333333333333
2011,IND,Solar,8420930.232558139,0.5
2011,IRL,Energy Efficiency,458002.011627907,0.3333333333333333
2011,IRL,Other Energy,458002.011627907,0.3333333333333333
2011,IRL,Other Renewables,512101.5348837209,1.3333333333333333
2011,ISR,Fossil Fuels,3715116.2790697673,0.3333333333333333
2011,ISR,Hybrid and Electric mobility,619186.046511628,1.0
2011,ISR,Other Energy,6924976.7441860465,1.8333333333333333
2011,ISR,Other Renewables,6501453.488372093,0.8333333333333333
2011,ITA,Energy Efficiency,442189.23837209307,2.0
2011,JPN,Hybrid and Electric mobility,3563750.0581395347,1.0
2011,KEN,Other Renewables,123837.20930232559,1.0
2011,NLD,Hybrid and Electric mobility,2674701.680232558,1.0
2011,NOR,Other Renewables,58203488.37209302,2.0
2011,PRT,Other Energy,332171.023255814,0.5
2011,PRT,Other Renewables,332171.023255814,0.5
2011,SVK,Energy Efficiency,123743.09302325582,1.0
2011,SVK,Solar,174064.34302325582,1.0
2011,SWE,Energy Efficiency,3203838.261627907,2.0
2011,SWE,Other Energy,3913001.3284883723,0.5
2011,SWE,Solar,3913001.3284883723,0.5
2011,TWN,Hybrid and Electric mobility,61918604.65116279,1.0
2011,USA,Bioenergy,247243702.88372093,12.5
2011,USA,Energy Efficiency,856536989.8851744,63.95
2011,USA,Fossil Fuels,276977782.56395346,18.666666666666668
2011,USA,Grid,73526279.06976745,5.033333333333333
2011,USA,Hybrid and Electric mobility,655201217.1453488,17.0
2011,USA,Hydrogen and Fuel Cells,48915697.674418606,0.5833333333333333
2011,USA,Other Energy,1411310458.295058,77.01666666666667
2011,USA,Other Renewables,412422003.0334302,37.266666666666666
2011,USA,Solar,1469328254.5261629,40.833333333333336
2011,USA,Storage (not electromobility),732446417.2892442,27.4
2011,USA,Wind,85520119.18604651,2.75
2012,AUS,Energy Efficiency,2698806.8181818184,2.0
2012,AUS,Hybrid and Electric mobility,544602.2727272727,1.0
2012,AUT,Energy Efficiency,39339.64772727273,0.5
2012,AUT,Other Energy,39339.64772727273,0.5
2012,BLR,Energy Efficiency,491352.2727272727,1.0
2012,BMU,Energy Efficiency,141596.59090909088,0.3333333333333333
2012,BMU,Other Energy,141596.59090909088,0.3333333333333333
2012,BMU,Other Renewables,141596.59090909088,0.3333333333333333
2012,BRA,Other Energy,605113.6363636364,1.0
2012,CAN,Energy Efficiency,9077073.664772727,2.0
2012,CAN,Fossil Fuels,22405238.24147727,2.5
2012,CAN,Grid,1653977.2727272727,0.3333333333333333
2012,CAN,Other Energy,11616433.241477272,2.333333333333333
2012,CAN,Other Renewables,19399943.988636363,5.833333333333333
2012,CAN,Solar,18153409.09090909,2.0
2012,CHE,Energy Efficiency,1046235.4261363636,4.0
2012,CHE,Fossil Fuels,2420454.5454545454,1.0
2012,CHE,Other Energy,12227049.579545453,2.0
2012,CHL,Energy Efficiency,24204.545454545452,0.5
2012,CHL,Fossil Fuels,24204.545454545452,0.5
