year,country_ISO3,number_of_deals,raised_amount_usd,sector
2013,DEU,5,31776078.320224717,energy_and_green
2013,DNK,3,3782444.426966292,energy_and_non_green
2013,ESP,5,5105229.471910113,energy_and_non_green
2013,ESP,2,519187.49999999994,energy_and_green
2013,EST,2,3415031.393258427,energy_and_green
2013,FIN,3,9210726.691011235,energy_and_non_green
2013,FIN,2,20968709.61235955,energy_and_green
2013,FRA,9,44904571.4494382,energy_and_non_green
2013,FRA,4,7754909.983146067,energy_and_green
2013,GBR,22,56189143.92134831,energy_and_non_green
2013,GBR,10,22844395.98876404,energy_and_green
2013,GTM,1,1316292.1348314607,energy_and_green
2013,HKG,2,254593.63483146066,energy_and_green
2013,HUN,1,717977.5280898876,energy_and_non_green
2013,IND,1,1914606.7415730336,energy_and_non_green
2013,IND,2,11995729.213483145,energy_and_green
2013,IRL,6,1022008.702247191,energy_and_non_green
2013,IRL,1,1051912.4662921347,energy_and_green
2013,ISR,7,14479213.483146066,energy_and_non_green
2013,ISR,4,23509469.34269663,energy_and_green
2013,ITA,4,893720.4775280898,energy_and_non_green
2013,JPN,1,206468.79775280898,energy_and_green
2013,KEN,2,1914606.7415730334,energy_and_green
2013,KOR,1,1094088.8595505618,energy_and_non_green
2013,LTU,1,316149.43820224714,energy_and_non_green
2013,MEX,2,431786.89887640445,energy_and_non_green
2013,MEX,2,378974.86516853934,energy_and_green
2013,NLD,3,287456.6629213483,energy_and_non_green
2013,NLD,1,13545001.466292134,energy_and_green
2013,NOR,1,29915.73033707865,energy_and_non_green
2013,NOR,1,11966292.13483146,energy_and_green
2013,PAK,1,299157.3033707865,energy_and_green
2013,POL,1,392395.0617977528,energy_and_non_green
2013,POL,1,165076.19662921346,energy_and_green
2013,PRT,1,1509358.6853932582,energy_and_non_green
2013,RUS,1,119662.9213483146,energy_and_non_green
2013,SGP,1,6312361.499999999,energy_and_non_green
2013,SGP,1,568281.606741573,energy_and_green
2013,SVK,1,109379.08988764044,energy_and_green
2013,SWE,2,1776210.5898876404,energy_and_non_green
2013,SWE,3,20595121.97191011,energy_and_green
2013,UKR,3,2016320.2247191009,energy_and_non_green
2013,USA,193,1078273139.2752807,energy_and_non_green
2013,USA,179,2969297150.275281,energy_and_green
2014,AUS,3,1864170.1160220993,energy_and_non_green
2014,AUT,3,5937323.220994474,energy_and_non_green
2014,AUT,2,2244690.4972375687,energy_and_green
2014,BEL,1,400600.044198895,energy_and_non_green
2014,BGR,1,80488.11049723756,energy_and_non_green
2014,BMU,1,129447.51381215469,energy_and_green
2014,CAN,6,13000249.06077348,energy_and_non_green
2014,CAN,18,56678999.917127065,energy_and_green
2014,CHE,5,4029795.2486187844,energy_and_non_green
2014,CHE,5,1709965.17679558,energy_and_green
2014,CHL,2,94143.64640883978,energy_and_non_green
2014,CHL,2,94143.64640883978,energy_and_green
2014,CHN,20,154532086.04419887,energy_and_non_green
2014,CHN,15,316304245.67403316,energy_and_green
2014,CYP,1,29478.729281767955,energy_and_non_green
2014,DEU,2,4478102.585635359,energy_and_non_green
2014,DEU,16,95166465.3480663,energy_and_green
2014,DNK,4,1488347.5027624308,energy_and_non_green
2014,DNK,5,16811563.972375687,energy_and_green
2014,EGY,1,17651.933701657457,energy_and_green
2014,ESP,2,1116670.7403314917,energy_and_non_green
2014,ESP,8,3726190.226519337,energy_and_green
2014,EST,1,13403.701657458563,energy_and_non_green
2014,EST,1,6144702.845303867,energy_and_green
2014,ETH,1,8825966.85082873,energy_and_green
2014,FIN,1,4942541.436464088,energy_and_non_green
2014,FIN,1,28955.055248618784,energy_and_green
2014,FRA,6,16044346.209944751,energy_and_non_green
2014,FRA,7,40706759.50276243,energy_and_green
2014,GBR,20,40199512.35911602,energy_and_non_green
2014,GBR,14,35843496.43093923,energy_and_green
2014,GRC,1,22335.580110497238,energy_and_non_green
2014,GTM,2,1365082.8729281765,energy_and_green
2014,HKG,1,14709.944751381214,energy_and_non_green
2014,IND,4,1831817.6519337017,energy_and_non_green
2014,IND,4,23712430.93922652,energy_and_green
2014,IRL,1,553093.9226519336,energy_and_non_green
2014,IRL,4,51903369.28176796,energy_and_green
2014,ISR,6,8561986.889502762,energy_and_non_green
2014,ISR,8,141156629.83425415,energy_and_green
2014,ITA,1,357715.25966850825,energy_and_non_green
2014,ITA,2,197799.33149171268,energy_and_green
2014,JPN,2,1868970.2651933702,energy_and_non_green
2014,JPN,4,20750525.900552485,energy_and_green
2014,KEN,3,38245856.35359116,energy_and_non_green
2014,KEN,1,117679.55801104971,energy_and_green
2014,KOR,2,678501.4972375691,energy_and_non_green
2014,KOR,1,489805.85635359114,energy_and_green
2014,MEX,3,688949.08839779,energy_and_non_green
2014,MEX,1,123419.96685082873,energy_and_green
2014,MYS,1,353038.67403314915,energy_and_non_green
2014,NLD,3,4321826.4861878455,energy_and_non_green
2014,NLD,9,34200021.38121547,energy_and_green
2014,NOR,1,188287.29281767955,energy_and_non_green
2014,NOR,2,47071823.20441988,energy_and_green
2014,PRT,2,1297201.7734806628,energy_and_green
2014,RUS,1,2353591.160220994,energy_and_green
2014,RWA,1,11928.0,energy_and_green
2014,SGP,3,3650230.4254143643,energy_and_non_green
2014,SRB,1,80185.67403314916,energy_and_green
2014,SVN,1,73235.51933701657,energy_and_green
2014,SWE,3,390947.9668508287,energy_and_non_green
2014,SWE,3,2344728.7127071824,energy_and_green
