country_ISO3,sector,number_of_companies,success_within_3_years_proba,success_within_5_years_proba,success_within_10_years_proba,success_within_20_years_proba,time_to_expansion_stage,time_to_bridge_stage,time_to_ipo,time_to_acquired,time_to_success,time_to_early_stage
ETH,energy_and_digital,2,0.0,0.0,0.0,0.0,,,,,,0.5863013698630137
FIN,energy_and_non_digital,101,5.9405940594059405,8.91089108910891,13.861386138613863,20.792079207920793,7.368036529680365,6.111275026343519,7.886986301369863,9.532948810382118,9.246694460988683,1.9207762557077626
FIN,energy_and_digital,56,1.7857142857142856,1.7857142857142856,1.7857142857142856,3.571428571428571,6.460547945205479,5.521330724070451,,11.46849315068493,11.46849315068493,2.6172813487881976
FLK,energy_and_non_digital,1,0.0,0.0,0.0,100.0,,,15.605479452054794,,15.605479452054794,
FRA,energy_and_non_digital,704,0.9943181818181818,2.556818181818182,5.965909090909091,10.795454545454545,6.084814090019569,7.3734457323498415,7.950565812983919,14.274847792998477,12.682191780821917,2.9095890410958902
FRA,energy_and_digital,199,1.507537688442211,2.512562814070352,5.527638190954774,7.537688442211055,4.891359325605901,4.637164979154258,7.103561643835616,10.613972602739725,9.663405088062621,2.2632498819083606
FRO,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,,,
GAB,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,25.515068493150686,25.515068493150686,
GBR,energy_and_non_digital,1807,4.537908135030437,6.640841173215274,11.621472053126729,17.26618705035971,7.19634703196347,8.527713382507903,6.059720492597205,13.198392952224212,11.25625669239006,3.678419043341567
GBR,energy_and_digital,584,1.5410958904109588,2.3972602739726026,4.4520547945205475,9.246575342465754,5.636625811103101,5.882910397484841,7.048173515981735,13.86152774553053,12.737338551859098,2.2251141552511413
GEO,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
GGY,energy_and_non_digital,3,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,,7.967123287671233,0.6410958904109589,,0.6410958904109589,
GHA,energy_and_non_digital,15,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,9.352054794520548,8.161643835616438,1.6493150684931508,5.234246575342466,0.8246575342465754,1.6684931506849314
GHA,energy_and_digital,7,0.0,0.0,0.0,0.0,,,,,,0.0
GIB,energy_and_non_digital,3,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,,,,,,
GIN,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,2.8794520547945206,,,,
GRC,energy_and_non_digital,94,0.0,0.0,1.0638297872340425,4.25531914893617,,10.131506849315068,12.90958904109589,,12.90958904109589,
GRC,energy_and_digital,28,0.0,0.0,0.0,0.0,16.660273972602738,8.458447488584476,,,,0.9771689497716896
GTM,energy_and_non_digital,3,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,,5.6657534246575345,,0.3287671232876712,0.3287671232876712,0.663013698630137
GTM,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,0.0
GUY,energy_and_non_digital,1,0.0,0.0,0.0,0.0,,,,,,
HKG,energy_and_non_digital,140,30.714285714285715,34.285714285714285,41.42857142857143,53.57142857142857,7.629223744292237,8.420091324200913,6.1447728911319395,12.413698630136986,6.124341412012645,5.626027397260273
HKG,energy_and_digital,48,6.25,6.25,10.416666666666668,16.666666666666664,8.386301369863014,16.145205479452056,6.391780821917808,10.63013698630137,6.921575342465753,1.6863013698630136
HND,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
HRV,energy_and_non_digital,26,0.0,0.0,0.0,0.0,6.728767123287671,4.416438356164384,,,,1.2465753424657535
HRV,energy_and_digital,13,0.0,0.0,0.0,7.6923076923076925,,,11.043835616438356,,11.043835616438356,2.3589041095890413
HTI,energy_and_non_digital,1,0.0,0.0,0.0,100.0,,,,14.150684931506849,14.150684931506849,
HTI,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,7.142465753424657
HUN,energy_and_non_digital,50,2.0,2.0,2.0,4.0,,3.750684931506849,,14.756164383561643,14.756164383561643,4.446575342465754
HUN,energy_and_digital,24,0.0,0.0,0.0,0.0,,,,,,2.5287671232876714
IDN,energy_and_non_digital,77,3.896103896103896,7.792207792207792,18.181818181818183,32.467532467532465,10.945205479452055,12.854794520547944,15.54279784142798,6.093150684931508,14.755327245053273,1.0730593607305936
IDN,energy_and_digital,18,0.0,0.0,0.0,0.0,,1.915068493150685,,,,0.5808219178082191
IMN,energy_and_non_digital,1,0.0,0.0,100.0,100.0,,,,8.345205479452055,8.345205479452055,
IMN,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
IND,energy_and_non_digital,757,1.1889035667107,1.9815059445178336,5.284015852047556,9.5112285336856,7.713823163138232,9.659616438356164,14.662600863201352,11.394758784991065,13.879680365296805,3.745525707169543
IND,energy_and_digital,273,0.7326007326007326,0.7326007326007326,1.8315018315018317,2.197802197802198,7.791780821917809,11.050062266500623,15.2,9.904657534246576,12.552328767123289,2.419496654985664
IRL,energy_and_non_digital,119,0.8403361344537815,5.042016806722689,11.76470588235294,17.647058823529413,6.86695205479452,7.85688960515713,9.415068493150685,10.850171232876711,10.237164979154258,6.138356164383562
IRL,energy_and_digital,53,0.0,3.7735849056603774,3.7735849056603774,7.547169811320755,8.107347447073474,12.321461187214611,3.8794520547945206,12.31689497716895,10.207534246575342,2.8066780821917807
IRN,energy_and_non_digital,2,0.0,0.0,0.0,0.0,,,,,,
IRN,energy_and_digital,4,0.0,0.0,0.0,0.0,,,,,,
ISL,energy_and_non_digital,19,0.0,0.0,5.263157894736842,5.263157894736842,9.708219178082192,5.040900195694716,6.972602739726027,,6.972602739726027,3.0621004566210046
ISL,energy_and_digital,6,0.0,0.0,0.0,0.0,6.002739726027397,2.997716894977169,,,,
ISR,energy_and_non_digital,221,2.7149321266968327,4.072398190045249,5.429864253393665,6.334841628959276,5.234246575342466,8.38599695585997,8.438356164383562,21.51095890410959,11.190483056957461,2.975
ISR,energy_and_digital,163,1.2269938650306749,3.067484662576687,4.294478527607362,4.294478527607362,6.743607305936073,5.43245521601686,4.750684931506849,4.140182648401827,4.227397260273973,2.2421052631578946
