year,country_ISO3,technology_field,number_of_companies
1984.0,THA,Fossil Fuels,0.3333333333333333
1984.0,THA,Other Energy,0.8333333333333333
1984.0,THA,Other Renewables,1.0
1984.0,THA,Solar,0.3333333333333333
1984.0,TUR,Fossil Fuels,0.5
1984.0,TUR,Other Energy,0.5
1984.0,TWN,Other Energy,1.0
1984.0,UKR,Grid,0.3333333333333333
1984.0,UKR,Nuclear,0.3333333333333333
1984.0,UKR,Other Energy,0.3333333333333333
1984.0,USA,Energy Efficiency,21.416666666666668
1984.0,USA,Fossil Fuels,24.53333333333333
1984.0,USA,Grid,20.366666666666667
1984.0,USA,Hybrid and Electric mobility,2.0
1984.0,USA,Other Energy,47.53333333333333
1984.0,USA,Other Renewables,8.783333333333333
1984.0,USA,Solar,10.166666666666666
1984.0,USA,Storage (not electromobility),0.2
1984.0,ZAF,Grid,1.0
1985.0,ARE,Energy Efficiency,1.0
1985.0,ARE,Other Energy,0.5
1985.0,ARE,Solar,0.5
1985.0,AUS,Fossil Fuels,2.5
1985.0,AUS,Grid,1.0
1985.0,AUS,Other Energy,0.5
1985.0,BEL,Energy Efficiency,1.0
1985.0,BEL,Fossil Fuels,1.0
1985.0,BEL,Solar,1.0
1985.0,BMU,Fossil Fuels,1.0
1985.0,BOL,Fossil Fuels,1.0
1985.0,BRA,Energy Efficiency,1.0
1985.0,BRA,Fossil Fuels,1.0
1985.0,CAN,Bioenergy,0.3333333333333333
1985.0,CAN,Energy Efficiency,4.333333333333333
1985.0,CAN,Fossil Fuels,5.166666666666667
1985.0,CAN,Grid,7.0
1985.0,CAN,Hybrid and Electric mobility,1.0
1985.0,CAN,Other Energy,5.333333333333333
1985.0,CAN,Other Renewables,3.8333333333333335
1985.0,CAN,Solar,1.0
1985.0,CHE,Energy Efficiency,1.0
1985.0,CHE,Fossil Fuels,2.0
1985.0,CHE,Grid,1.0
1985.0,CHE,Hybrid and Electric mobility,2.0
1985.0,CHE,Other Energy,2.5
1985.0,CHE,Solar,1.5
1985.0,CHL,Grid,0.5
1985.0,CHL,Other Energy,0.5
1985.0,CHN,Energy Efficiency,0.25
1985.0,CHN,Fossil Fuels,2.5
1985.0,CHN,Hybrid and Electric mobility,1.0
1985.0,CHN,Other Energy,1.75
1985.0,CHN,Other Renewables,0.5
1985.0,CHN,Storage (not electromobility),1.0
1985.0,DEU,Energy Efficiency,1.0
1985.0,DEU,Fossil Fuels,0.5
1985.0,DEU,Grid,6.0
1985.0,DEU,Other Energy,3.0
1985.0,DEU,Solar,1.5
1985.0,DEU,Wind,1.0
1985.0,DNK,Fossil Fuels,1.0
1985.0,DNK,Other Energy,1.0
1985.0,ESP,Energy Efficiency,2.5
1985.0,ESP,Fossil Fuels,1.0
1985.0,ESP,Grid,0.5
1985.0,ESP,Other Energy,4.0
1985.0,ESP,Other Renewables,1.0
1985.0,ESP,Solar,1.0
1985.0,FIN,Energy Efficiency,1.0
1985.0,FRA,Fossil Fuels,2.0
1985.0,FRA,Other Energy,3.0
1985.0,FRA,Other Renewables,2.0
1985.0,GBR,Energy Efficiency,4.0
1985.0,GBR,Fossil Fuels,6.333333333333333
1985.0,GBR,Grid,2.0
1985.0,GBR,Hybrid and Electric mobility,1.0
1985.0,GBR,Other Energy,8.0
1985.0,GBR,Other Renewables,4.666666666666667
1985.0,GBR,Solar,1.0
1985.0,GBR,Storage (not electromobility),1.0
1985.0,GRC,Energy Efficiency,0.3333333333333333
1985.0,GRC,Other Energy,0.3333333333333333
1985.0,GRC,Solar,1.3333333333333333
1985.0,HKG,Fossil Fuels,1.0
1985.0,IDN,Fossil Fuels,1.0
1985.0,IND,Energy Efficiency,1.6666666666666665
1985.0,IND,Fossil Fuels,7.333333333333333
1985.0,IND,Grid,2.3333333333333335
1985.0,IND,Other Energy,6.166666666666667
1985.0,IND,Other Renewables,1.0
1985.0,IND,Storage (not electromobility),1.0
1985.0,IND,Wind,0.5
1985.0,IRL,Energy Efficiency,0.5
1985.0,IRL,Other Energy,0.5
1985.0,ISR,Grid,0.5
1985.0,ISR,Other Energy,0.5
1985.0,ISR,Other Renewables,0.5
1985.0,ISR,Storage (not electromobility),0.5
1985.0,ITA,Energy Efficiency,1.3333333333333333
1985.0,ITA,Other Energy,0.3333333333333333
1985.0,ITA,Other Renewables,1.0
1985.0,ITA,Solar,1.3333333333333333
1985.0,JEY,Fossil Fuels,0.5
1985.0,JEY,Other Energy,0.5
1985.0,JOR,Grid,1.0
1985.0,JPN,Energy Efficiency,1.0
1985.0,JPN,Fossil Fuels,1.0
1985.0,JPN,Other Energy,1.0
1985.0,KEN,Fossil Fuels,1.0
1985.0,KOR,Fossil Fuels,0.8333333333333333
1985.0,KOR,Grid,1.3333333333333333
1985.0,KOR,Other Energy,2.333333333333333
1985.0,KOR,Other Renewables,1.5
